name,developer,description,url,language,platform_url
Zooniverse,Chris Lintott,"The Zooniverse is the world’s largest and most popular platform for people-powered research. This research is made possible by volunteers—hundreds of thousands of people around the world who come together to assist professional researchers. Our goal is to enable research that would not be possible, or practical, otherwise. Zooniverse research results in new discoveries, datasets useful to the wider research community, and many publications.

The Zooniverse Mobile App provides push notification updates about our projects, as well as access to our most mobile-friendly projects and publications.",https://apps.apple.com/us/app/zooniverse/id1194130243?uo=4,['EN'],https://www.zooniverse.org/
Nature's Notebook,USA National Phenology Network,"Nature's Notebook is a program for observing and recording plant and animal life cycle events, like flowering and bird migration. Use this app to mark your sites, create a list of plants and animals, and going into the field to record observations throughout the seasons. Find out more at www.usanpn.org/nn/guidelines.",https://apps.apple.com/us/app/natures-notebook/id1463430668?uo=4,['EN'],https://www.usanpn.org
AmphiApp | Citizen Science,SPOTTERON Gmbh,"Amphibien gehören zu den am stärksten bedrohten Tiergruppen Österreichs und auch weltweit. Die Gründe dafür umfassen unter anderem die Zerstörung und Degradierung von Lebensräumen, diverse Pilzkrankheiten sowie Veränderungen in der Landnutzung. Für einige Amphibienarten gehören, trotz vieler Störungen, auch landwirtschaftliche Gebiete oder gar Städte zu wichtigen Lebensräumen. Unsere Zielart ist die bedrohte Wechselkröte - eine typische Pionierart, die neu entstehende Gewässer schnell besiedeln kann. In Österreich liegt ihr Hauptverbreitungsgebiet in Ostösterreich mit vereinzelten inselartigen Vorkommen im Westen. Ihre natürlichen Laichgewässer sind nach Regenfällen gefüllte Steppenseen oder nach Überschwemmungen entstandene Tümpel mit starker Sonneneinstrahlung. Bis auf wenige Ausnahmen, sind die natürlichen Laich-Habitate der Wechselkröte in Europa weitgehend verschwunden. Neben diesen naturnahen Gewässern werden heute oft künstliche Gewässer oder Lacken, die nach Regengüssen gefüllt sind, von Wechselkröten angenommen. Das Verschwinden von Brachflächen und Verschließen von Baulücken führt jedoch sowohl im ländlichen als auch im innerstädtischen Gebiet zu einer Verschlechterung des Erhaltungszustandes der Wechselkröte. Gegenmaßnahmen, wie beispielsweise die Bereitstellung von Ersatzlebensräumen, wirken dieser negativen Entwicklung entgegen.

Projektziele von AmphiBiom
Ein wichtiger Schritt für ein umfassendes Schutzkonzept für die Wechselkröte erfordert eine österreichweite Bestandsaufnahme und Analyse ihrer Habitat-Präferenzen unter Einbeziehung von Schadstoffen in den Gewässern und der Landnutzung. Das vorliegende Projekt nutzt Citizen Science zur Untersuchung dieser Pionierart, um die Verbreitung in Arealen, die oftmals für die Forschung unzugänglich sind (z.B. Privatgärten), zu untersuchen und Bürger*innen aktiv in das Projekt einzubinden. Darüber hinaus ist es ein Ziel den Teilnehmenden zu zeigen, dass sie selbst durch nur wenig Aufwand (z.B. durch die Anlage von Kleingewässern) das Überleben dieser geschützten Art fördern können. Diese Lebensraumschaffung wird den Erhaltungszustand der Wechselkröten und anderer bedrohter Amphibien-Pionierarten erheblich verbessern. Wir erwarten zudem eine große Vielfalt wirbelloser Tiere (z.B. Insekten), die zu einer Zunahme der Biodiversität in ganz Österreich beitragen wird. Unsere Analysen werden uns ermöglichen, klare Handlungsweisen zum Schutz dieser seltenen Biotope zu geben. Die Involvierung von Bürger*innen ermöglicht hier die breite Ausrollung unserer Initiative, erhöht die Nachhaltigkeit der Aktion und schafft ein Problembewusstsein für Biodiversitätsschutz in Österreich. 

Wie können Sie mitmachen?
Bevor Sie mittels App aktiv teilnehmen können, müssen Sie sich registrieren oder einloggen. Für die Teilnahme am Projekt AmphiBiom bieten sich zwei Möglichkeiten. Haben Sie auf einem abendlichen Spaziergang eine Wechselkröte, oder ein anderes Amphib, gehört, dann können Sie den Ruf direkt in der App aufzeichnen und melden. Sie haben auch die Möglichkeit sich aktiv in der Laichgewässerschaffung für Wechselkröten zu engagieren. Hierfür steht ein eigenes Online-Formular über www.amphi.at zur Verfügung. Nach erfolgter Registrierung setzt sich unser Projektteam mit ihnen in Kontakt, um die weiteren Schritte zu besprechen.

Die AmphiApp läuft auf der SPOTTERON Citizen Science Plattform unter www.spotteron.net.",https://apps.apple.com/us/app/amphiapp-citizen-science/id6468587877?uo=4,"['EN', 'DE']",https://www.spotteron.net/apps/regional-community-science-projects/amphiapp-citizen-science-app-en
YOUCOUNT Youth Citizen Science,SPOTTERON Gmbh,"Let’s explore how young people can be socially included!

With the YouCount App, you can contribute to better knowledge on social inclusion for young people. Together with youths from nine European countries – Austria, Denmark, Hungary, Italy, Lithuania, Norway, Spain, Sweden, and the United Kingdom – you can share your daily life experiences of participation, belonging, and citizenship in your community.  You can share which places you spend time, what activities you do, with whom you spend time, and what these places, people, and activities mean to you. When do you feel that you belong and take part in society and the local community? What makes you feel supported, strengthened, and have a voice? You know better than anyone else, what your daily lived experiences of inclusion and exclusion are.

We invite you to be a young researcher and share your experiences with other youths and researchers in the YouCount App. We also invite you to create new knowledge and innovations for social change in cooperation with other youths and local people, organizations, and authorities in your community. 

YouCount is a research project funded by the European Union and we aim to address one of Europe’s most pressing challenges: How to increase social inclusion for young people?

The interactive app and user community run on the Citizen Science Platform SPOTTERON at www.spotteron.app.",https://apps.apple.com/us/app/youcount-youth-citizen-science/id1612313549?uo=4,"['EN', 'DE']",https://www.youcountproject.eu/
ISeeChange Tracker,ISeeChange,"Our climate is changing--and so are we. With ISeeChange, share your experiences and collect data to investigate our environment and help our communities through change.

What you see change in your backyard, neighborhood, and city is important to our understanding of how climate change and weather affect our communities. Your observations and block-by-block insights can help cities, engineers and local organizations advocate for and create solutions to climate challenges. If you or your community has a question or hypothesis about how climate is changing your area, you can also use your ISeeChange account to collect data and answer those questions.

• Create your account: Your account is a personal record of your sightings as well as a way to connect with your local community. Your location is generalized to protect your personal privacy.

• Post a sighting: The best posts combine detailed stories and photos to show what you’re seeing in your environment and how it affects you. We then sync your stories to local weather data and trends.

• Have conversations and connect: Comment on what others are seeing in your area and across the globe. Connect with community members on tips to manage the same climate challenges you are experiencing.

• Help improve local knowledge and research: During weather events let us know what you’re seeing and check in on the feed to see what information your community is gathering. We may send push notifications and emails during local and regional weather events. When you respond to them, we do our best to share what you saw with people studying local weather trends. 

• Contribute to solutions: We share posts on social media, in newsletters and in reports to local partners that are working on solutions. Be sure to subscribe to our emails so you can be the first to know when we hear someone has used your post as data. This helps you and others track how your community is changing in response to climate change.",https://apps.apple.com/us/app/iseechange-tracker/id1114885557?uo=4,['EN'],https://www.iseechange.org/
HerpMapper,Donald Becker,"HerpMapper is a 501(c)(3) nonprofit organization designed to gather and share information about reptile and amphibian observations across the planet. Using the HerpMapper mobile app, you can create records of your herp observations and keep them all in one place. In turn, your data is made available to HerpMapper Partners – groups who use your recorded observations for research, conservation, and preservation purposes. Your observations can make valuable contributions on the behalf of amphibians and reptiles.

Using your phone’s camera and GPS capabilities, the HerpMapper mobile app creates a ‘voucher record’ of your find, incorporating photos of the animal, and recording the location.  For calling frogs and toads, the app enables you to record and include a sound file in a record.  The date and time of day are also recorded.  The app features a searchable database of the common and scientific names for all of the world’s herpetofauna, and you can search for either type of name by entering just a fragment.  The newest version of the app allows you to add multiple photos and soundfiles to a record

The HerpMapper mobile app does not require wireless or cellular service in order to properly record locations - it uses your phone’s native GPS device, which remains in satellite contact when outside (many HerpMapper records have been recorded in remote corners of the globe).  Once you are back in wireless or cellular range, you can upload (sync) your collected records to the HerpMapper database.  Once uploaded, you can view any and all of your records from the HerpMapper website (www.herpmapper.org).  Creating a HerpMapper account is fast, simple, and free, and you can use the site and the mobile app to keep track of your finds, build a life list, and contribute to science and herp conservation!  Instructions for creating an account, and installing and using the mobile app, are listed on the HerpMapper website.

Who can see the records you create? There are two levels of visibility for records. Only you and HerpMapper Partners have access to all of the data in the records you create. Other users of HerpMapper and the general public can only see very basic information in your records – they do not have access to exact locality data. Any pictures attached to a record have their locality metadata stripped, so they can be seen by everyone on the HerpMapper website, which means you can also see the cool herps being recorded by other people from around the world.

Who are HerpMapper's Partners? For the most part, they are biologists working for state or regional agencies, university researchers, or conservation organizations across the globe. A list of HerpMapper Partners is maintained on the HerpMapper website.",https://apps.apple.com/us/app/herpmapper/id1266037481?uo=4,[],https://www.herpmapper.org/
WhaleReport,Ocean Wise Conservation Association,"Welcome to B.C. Cetacean Sightings Network’s WhaleReport app!

Help the Sightings Network gather data on the occurrence and distribution of cetaceans (whales, dolphins and porpoises) and sea turtles in B.C. waters. If you see a cetacean or sea turtle in B.C. waters, use the WhaleReport App to report what you see and directly contribute to important conservation-based research.

Once submitted, your sightings will appear on your personalized map in the ‘Map’ tab. Your report will be reviewed by the Sightings Network team and you may be contacted with follow-up questions. The Sightings Network appreciates your contributions and looks forward to receiving your sightings!

Use the WhaleReport app to:

•	Learn more about the 23 species of cetacean and four species of sea turtles that inhabit B.C. waters

•	View the Be Whale Wise guidelines for responsible marine wildlife viewing

•	Record sightings when out of mobile reception range

•	Track and observe sightings you’ve submitted via a personalized sightings summary

About the Sightings Network

The B.C. Cetacean Sightings Network is a research and conservation program of the Vancouver Aquarium in collaboration with the Cetacean Research Program of Fisheries and Oceans Canada.

The Sightings Network is a network of thousands of observers across British Columbia who report their sightings of whales, dolphins, porpoises and sea turtles. Anyone can be an observer and every report improves our understanding of the distribution and occurrence of cetaceans and sea turtles in B.C. waters.

There are 12 species or populations of cetaceans and sea turtles native to British Columbia listed under the Species at Risk Act. These species face many threats from human activity such as entanglement in fishing gear, disturbance by vessels, and accumulation of pollutants.

Learn more about cetaceans, sea turtles and their conservation at www.wildwhales.org.

How Sightings Network Data is Used

The data collected are used in conservation and research-based projects to better understand and protect cetacean and sea turtles in B.C. waters. Sightings are not made available to the public so as to avoid advertising cetacean and sea turtles hot spots, and contributing to vessel disturbance to cetaceans and sea turtles in these areas. Data can be requested for use in academic research, conservation assessment and planning, species recovery planning including critical habitat determination, and environmental impact assessment, evaluation and mitigation.

This app was made possible through the generous support of Mountain Equipment Co-op, BG Group, and the Government of Canada.

This project was undertaken with the financial support of the Government of Canada provided through the Department of the Environment. The British Columbia Cetacean Sightings Network is a collaboration between the Vancouver Aquarium and Fisheries and Oceans Canada.",https://apps.apple.com/us/app/whalereport/id982066469?uo=4,"['CA', 'EN', 'FR', 'DE', 'IT', 'PL', 'PT', 'ZH', 'ES']",https://ocean.org/whales/wras/
CSMON-LIFE segnalazioni,Divulgando Srl,"CSMON-LIFE (Citizen Science MONitoring) is one of the first Italian projects which focuses on using a citizen science approach on biodiversity. I was funded by the European Commission under the LIFE+ programme.

The project want to stimulate the participation of the citizens, involving them in the study, management and conservation of biodiversity, hence creating an active collaboration between citizens, scientific community and institutions.

The project aims at activating several citizen science campaigns, which will be focused on several environmental issues, such as:
- the loss of biodiversity because of the presence of alien species;
- the effects of climate change;
- the conservation of rare species;
- the impact of human activities on the environment.

Contribute with your observations to the monitoring of several target species.

The data, once validated, will be available on the CSMON-LIFE website and will feed the National Biodiversity Network (NNB), an effort promoted by the Italian Ministry for the Environment.",https://apps.apple.com/us/app/csmon-life-segnalazioni/id943048570?uo=4,"['EN', 'IT']",http://www.csmon-life.eu
CoronaReport,SPOTTERON Gmbh,"CoronaReport is a citizen science project developed by the Scottish Collaboration for Public Health Research and Policy (SCPHRP), and the University of Edinburgh. Citizens can record their experiences of the disease, and the effects on their lives. Please note: you can only contribute social science-related information in this app - it is not a medical tool nor does it offer any medical advice.

Coronavirus (COVID-19) is the viral pandemic affecting communities worldwide. The pandemic’s impacts are varied and substantial. CoronaReport is a citizen science project which democratizes the reporting on the Coronavirus and makes these reports accessible to other citizens. You can create public reports about your experiences, including how the virus is affecting your area and the way your community functions (e.g., schools, nursing homes, and businesses).

About the project
The collected and anonymized data from the reports will then be shared on the CoronaReport platform enabling you and other citizens to see first-hand accounts about how people are feeling and experiencing the impact of coronavirus. You can choose how much information you want to contribute to your reports and if you want to connect with others to share experiences. By working together citizens can build a real-time and vivid picture of how coronavirus is influencing the way people live and work. For example, we do not know the extent to which countermeasures like social distancing are being practised and how this, and other countermeasures, are affecting people’s well-being. Find out more about the project on the website: www.coronareport.global
The project is running on the SPOTTERON Citizen Science Platform.",https://apps.apple.com/us/app/coronareport/id1504173448?uo=4,"['EN', 'DE']",https://www.coronareport.global/
Sealife Tracker,Natural Apptitude,"The Sealife Tracker project aims to collect much needed data on both invasive and climate change indicator marine species around the UK coastline. It is a unique partnership between the British Sub Aqua Club, the Marine Biological Association, the Environment Agency, Scottish Natural Heritage, The Scottish Environment Protection Agency and Natural Apptitude.",https://apps.apple.com/us/app/sealife-tracker/id663800293?uo=4,['EN'],http://www.natural-apptitude.co.uk/project/sealife-tracker/
PADI AWARE,PADI AWARE Foundation,"PADI AWARE
Conservation Action Portal

Where Every Action Shapes the Future of Our Blue Planet
 
PADI AWARE Foundation is a publicly funded charity with a mission to drive local action for global ocean conservation.

The Conservation Action Portal makes it easier than ever to find, track, and share impactful conservation actions – both above and below water. Whether you're involved in removing marine debris, advocating for marine protected areas, or supporting citizen science, you are a part of a growing movement that is shaping the future of our blue planet.",https://apps.apple.com/us/app/padi-aware/id1260943783?uo=4,['EN'],https://www.padi.com/aware
Dark Sky Meter,DDQ,The Dark Sky Meter app measures the sky brightness using the camera and shares it (optionally) with scientists around the globe.,https://apps.apple.com/us/app/dark-sky-meter/id602989060?uo=4,"['NL', 'EN']",https://www.darkskymeter.com/
BirdWeather,Scribe Labs Inc,"BirdWeather: Your Gateway to Nature's Soundscapes

Discover the power of bioacoustics with BirdWeather, the all-in-one app designed to manage your PUC (Physical Universe Codec). PUC is an AI-driven bioacoustics platform, packed with advanced features like dual microphones, WiFi/BLE connectivity, GPS, environmental sensors, and a built-in neural engine—all housed in a rugged, weatherproof enclosure. Capture nature's audio effortlessly, and let BirdWeather help you explore the world of species detection and real-time monitoring.


Key Features:
- Quick Setup: Start recording in minutes with our step-by-step instructions for setting up your PUC device, connecting it to your Wi-Fi, and configuring essential settings.
- Real-Time Species Recognition: With over 6,000 species in its database, BirdWeather provides a real-time view of the latest species detections as they happen.
- Community Insights: Explore the detections recorded by other PUC stations worldwide, gaining deeper insights into local and global wildlife activity.

Transform your understanding of nature with BirdWeather — the ultimate tool for bioacoustic monitoring and wildlife discovery.",https://apps.apple.com/us/app/birdweather/id6446207088?uo=4,"['AF', 'AR', 'CS', 'DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'HU', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RO', 'RU', 'ZH', 'SK', 'SL', 'ES', 'SV', 'TH', 'TR', 'UK']",https://www.birdweather.com/
