name,url,developer,rating,currency,description,language
spotFIRE | Citizen Science,https://apps.apple.com/us/app/spotfire-citizen-science/id6462456297?uo=4,SPOTTERON Gmbh,0.0,USD,"SpotFIRE is a Citizen Science project focusing on forest fire and fuel management to reduce forest fire risk, initiated by the Institute of Silviculture, University of Natural Resources and Life Sciences, Vienna.

The project aims to evaluate the suitability of a mobile phone application inspired by citizen science approaches to measure forest fuel data and collect information on forest fire events for fire risk management in mountainous regions.

Participants will be able to collect data on vegetation cover, providing crucial insights into the fuel load and potential fire intensity. Furthermore, the mobile application allows users to report a forest fires event, including the environmental impact and damage assessments, facilitating a comprehensive understanding of the consequences of forest fires. By engaging citizens as active contributors, the spotFIRE project aspires to raise awareness to improve fire prevention efforts from the general public and support the implementation of fire management strategies.

The spotFIRE | Citizen Science App is running on the SPOTTERON Platform at www.spotteron.net","['EN', 'DE']"
Brain Explorer,https://apps.apple.com/us/app/brain-explorer/id1490281801?uo=4,UCL,5.0,USD,"How does your brain work? How is your brain power compared
to your friends? Play the fun and entertaining games in the Brain Explorer app and
learn all about your brain. 

The Brain Explorer app was developed by world-leading
neuroscientists at University College London (UCL) and brings you the newest
games to measure your brain power using the most state-of-the-art brain tests.

Using this app, you can
- Play many fun games that test your brain power
- Compare your brain scores with others
- Win medals and unlock hidden games
- Help scientists understand how the brain works.

You will explore outer space, find new planets, visit
intergalactic marketplaces and hunt for treasures across the entire galaxy.
This space-themed app entails multiple entertaining games, each of them probing
another brain function. You get feedback about your performance, can learn about
your brain strengths, and compare yourself to others. By playing these games,
you will collect moons and stars that allow you to further explore the galaxy.
If you play well, you will win medals and get badges for your achievements.

Brain explorer is a citizen science project. By playing
these games and answering questions, you will help scientist understand how the
brain develops and how brain functions are linked to mental health. Become a researcher
yourself and help uncover the hidden mysteries of the brain. Data collection is
entirely anonymous.",['EN']
WaterLinx | Citizen Science,https://apps.apple.com/us/app/waterlinx-citizen-science/id6447082468?uo=4,SPOTTERON Gmbh,0.0,USD,"Water constitutes and connects all life forms on earth. However, current human water- and land-use patterns and emissions from our socio-industrial and consumption practices undermine the capacity of natural ecosystems in water and on land to regenerate themselves to remain a healthy basis for diverse forms of life. The health of interconnected water and soil systems is deteriorating at an ever-faster pace. Potential impacts from climate change threaten to accelerate this decline Just reducing our harmful impacts will no longer suffice. We need to take regenerative action. Restoring healthy water bodies is also a fundamental need to make the planet’s life support system with water and earth more resilient to the potential impacts of climate change.  But where should we act first, and what actions promise success?  EU Data sets relating to water quality are expensive to obtain and accordingly scantly distributed across time and space. Most data related to large rivers but not smaller streams that may flow through biodiversity-rich areas. 



Citizen science can play an important role in complementing official data sets on water quality to identify pollution hot spots, in particular in small streams that are not usually monitored by experts (König et al., 2020).  This APP provides a citizen science tool to explore water quality and ecosystem health where you stand and can take action.  Data collected with this APP can 
- inform you and any citizen in an accessible manner on where regenerative action for healthy water bodies might be most urgently needed, 
- open new windows on compliance with EU water quality standards and on the effectiveness of Luxembourg policy making and implementation, 
- be used by scientists (experts and citizens) to evaluate and learn from regenerative projects.



If you would like to engage in both monitoring with this APP and regenerative action, you can seek inspiration for practical projects with impact on www.transformation-lab.lu and www.aktioun-nohaltegkeet.lu .","['EN', 'DE']"
The Happiness Project,https://apps.apple.com/us/app/the-happiness-project/id1366965114?uo=4,UCL,3.87805,USD,"Play fun mini-games to help brain scientists study the psychology and neuroscience of well-being!

Created by scientists at UCL and Yale, this app is a citizen science project taking psychology and neuroscience experiments from the lab to your smartphone.

Every 3-minute game that you finish contributes data to real scientific research about how the brain works. The anonymous surveys help us see what causes well-being and understand mental health conditions like anxiety and depression. Be part of a unique citizen science experiment and help us write the equation for happiness!

Dr Robb Rutledge (Yale Psychology) says: ""We all want to know what determines happiness. It’s hard to figure it out! In our games, we ask people about their happiness as they make decisions in different situations. We hope people enjoy our app and help us answer some really important scientific questions!""

This citizen science project was supported by the UK Medical Research Council.",['EN']
Faunawatch Citizen Science,https://apps.apple.com/us/app/faunawatch-citizen-science/id1594067397?uo=4,Kevin Vishal,0.0,USD,Always wanted to preserve wildlife? Help Faunawatch with her research to protect endangered species. From everywhere in the world you can help us by identifying animals.,['EN']
Echo Meter Touch Bat Detector,https://apps.apple.com/us/app/echo-meter-touch-bat-detector/id693958125?uo=4,Wildlife Acoustics,4.49153,USD,"Using the Echo Meter Touch 2 Pro plug-in module, this app allows you to listen to record and automatically identify bats by their ultrasonic echolocation calls. The module and this companion app reveal the silent and often times invisible world of bats, providing outdoor enthusiasts, citizen scientists, and researchers an affordable and informative way to interact with these important creatures. There are two models: Echo Meter Touch 2 (EMT 2) is intended for nature enthusiasts and batting hobbyists and Echo Meter Touch 2 Pro is designed for bat professionals and features a higher quality microphone, adjustable gain, and higher sample rate.

The Echo Meter Touch Ultrasonic Module senses ultrasonic signals, digitizes the signal, and transmits the ultrasonic data to the app on your iOS device. 

LISTEN TO BAT’S ECHOLOCATIONS
EMT2 translates bat echolocations into frequencies that are audible to humans using two technologies. Wildlife Acoustics’ patented Real Time Expansion (RTE) allows you to listen to bats in real time with unparalleled fidelity. RTE maintains the timing and tonality of the original echolocations. Heterodyne (HET) listening via manual and automatic tuning is also available, for those accustomed to that way of hearing bats. 

VIEW THE ECHOLOCATIONS ON A SPECTROGRAM
A real-time spectrogram shows the frequencies and timing of the echolocations. Scroll back in time and zoom in on previous ""bat passes.""  

SEE MOST LIKELY BAT SPECIES IN REAL-TIME***
The Auto ID feature analyzes the echolocation calls and suggests the two most likely bat species matches in real time. This is the same technology used in our professional Kaleidoscope Pro Bat Auto Identification software. Currently, the app can identify 26 species in North America, 25 in Europe and 57 in the neotropics. For more information on Kaleidoscope and a full list of species, visit our website.

RECORD .WAV FILES
Activate triggered recording mode to automatically save bat passes to full spectrum .wav files for analysis on a computer or to view on your iDevice. Or use manual record mode to control start and stop of recording. View the recording spectrogram and add voice or text notes. Listen to the recording using RTE, HET, or traditional Time Expansion Playback (playback at fractional speed to make the ultrasound audible).

SEE YOUR PATH AND RECORDING LOCATIONS
View in satellite or road map view. View identified species codes directly on the map. Go to the recording's spectrogram from the map view. Transfer to your computer to view in Google Earth. Your iDevice must have GPS capability or you must use a Bluetooth GPS receiver for this functionality.
*Continued use of GPS running in the background can dramatically decrease battery life.*

TRANSFER RECORDINGS TO YOUR COMPUTER 
The EMT 2 can transfer the .wav recordings to your computer over a Wi-Fi network or using a USB cable. 

SHARE RECORDINGS VIA EMAIL OR MMS MESSAGING 
And import and open files that have been shared with you.

***Because bats vary their echolocation calls in response to a wide variety of needs, no automated identification can achieve 100% accuracy in species identification. Auto-ID, though largely accurate, should not be relied on as a basis for scientific research. Auto-ID is intended for use in analyzing recordings of single bats in free flight in low clutter environments. Auto-ID will not work well on recordings of roost emergence, multiple or captive bats, bats in high clutter environments, or bat social calls. Auto-ID does not include every possible bat for each of the covered regions.",['EN']
NASA NeMO-Net,https://apps.apple.com/us/app/nasa-nemo-net/id1506604930?uo=4,NASA,4.86247,USD,"Join the NASA team by helping us classify coral reefs! Travel the world, make friends with ocean wildlife, and classify real coral by painting in 3D. The classifications you create go directly to NASA and help protect the oceans!

* 3D PAINTING - Relax and fingerpaint, or use an Apple Pencil, to express yourself and help the environment
* UNDERWATER WORLDS - Explore the open ocean meeting clownfish, sea turtles, whale shark and more
* LEARN AS YOU GO - Learn about the oceans and how to classify coral as you go, no prior knowledge needed
* PLAY IN AR - View the world’s corals in your own house on any augmented reality enabled device",['EN']
Zooniverse,https://apps.apple.com/us/app/zooniverse/id1194130243?uo=4,Chris Lintott,3.68571,USD,"The Zooniverse is the world’s largest and most popular platform for people-powered research. This research is made possible by volunteers—hundreds of thousands of people around the world who come together to assist professional researchers. Our goal is to enable research that would not be possible, or practical, otherwise. Zooniverse research results in new discoveries, datasets useful to the wider research community, and many publications.

The Zooniverse Mobile App provides push notification updates about our projects, as well as access to our most mobile-friendly projects and publications.",['EN']
Unistellar,https://apps.apple.com/us/app/unistellar/id1435141427?uo=4,Unistellar,3.79121,USD,"The Unistellar App is your command center for all Unistellar telescopes, designed to help astronomers explore the cosmos with ease.

1.	Control your telescope: align, point, and operate your smart telescope directly from the App.
2.	Explore 5000 celestial objects: galaxies, nebulae, star clusters, planets, Moon, Sun, comets, and asteroids.
3.	Observe live: see your target appear within seconds, with more details and colors revealed as the signal accumulates.
4.	Share instantly: save your images as PNGs and share them in one click.
5.	Go pro: download RAW images for advanced post-processing.
6.	Join citizen science missions: contribute to real research with NASA and SETI—track asteroids, detect exoplanets, and more.","['EN', 'FR', 'DE', 'JA']"
Project Serotonin,https://apps.apple.com/us/app/project-serotonin/id1316376485?uo=4,Serotonin Inc,4.11111,USD,"Project Serotonin is a precision platform for peak health and longevity. Offering evidence-informed, targeted protocols for supplementation, exercise, fasting, sleep, mindfulness, etc. to optimize foundational health, mitigate disease risk, achieve peak performance, and improve biological age and health span.

The programs are designed to help users build the most precise supplementation stack, personalized based on blood biomarkers, genetics, health history, and other diet & lifestyle metrics, track their progress daily and longitudinally, measure adherence, and significantly improve their health outcomes.

The app is an interface to the program and is used for the following:
- User profile creation
- Subscription to the program
- Tracking supplement usage
- View Health, Activity & Lifestyle markers
- Content and Social

The app uses Health App integration to allow users to view their activity and other markers while using supplements recommended by the Serotonin program.",['EN']
Project FeederWatch,https://apps.apple.com/us/app/project-feederwatch/id1439222765?uo=4,Cornell University,3.0,USD,"Do you feed birds? You can report what you see for science. Project FeederWatch, a joint project of the Cornell Lab of Ornithology and Birds Canada, monitors winter feeder-bird populations in North America. The FeederWatch Mobile App is a new way for Project FeederWatch members to contribute their bird counts.

Sign in to:
 
•Report birds that visit your count site in winter (US and Canada only)
•Track your sighting statistics in real time
•Access your archive of past counts from all years
•Contribute to North America’s largest database on feeder birds
•Find out what food and feeder types work best for the birds overwintering near you
•Identify and learn about feeder birds
 
FeederWatch Mobile automatically syncs with the web version for seamless multi-platform support. Your data become immediately available for scientific research, education, and conservation. Thank you for helping birds!","['EN', 'FR']"
Nature's Notebook,https://apps.apple.com/us/app/natures-notebook/id1463430668?uo=4,USA National Phenology Network,3.11538,USD,"Nature's Notebook is a program for observing and recording plant and animal life cycle events, like flowering and bird migration. Use this app to mark your sites, create a list of plants and animals, and going into the field to record observations throughout the seasons. Find out more at www.usanpn.org/nn/guidelines.",['EN']
Leps by Fieldguide,https://apps.apple.com/us/app/leps-by-fieldguide/id1167114017?uo=4,Change Theory,4.26087,USD,"Fieldguide.ai is to the pocket field guide, what Wikipedia is to the encyclopedia—a crowd-sourced compendium of all natural and cultural things.

""Leps"" is Fieldguide's dedicated ID assistant and community for lep lovers (Lepidoptera: moths & butterflies). Use Leps to:

Identify species ~
Leps analyzes your moth/butterfly photos to suggest possible IDs that can be later verified by the Fieldguide community.

Record your observations ~
Leps arranges your observations into a dynamic checklist. When taxonomic treatments change, your records update automatically.

Showcase your collection ~
Sharing collection data builds a richer picture of Lepidoptera morphology, phenology, and distribution.

Connect with enthusiasts ~
Follow people who share your curiosity and interests.

You can also publish your lep photos on the web:
https://leps.fieldguide.ai",['EN']
AmphiApp | Citizen Science,https://apps.apple.com/us/app/amphiapp-citizen-science/id6468587877?uo=4,SPOTTERON Gmbh,0.0,USD,"Amphibien gehören zu den am stärksten bedrohten Tiergruppen Österreichs und auch weltweit. Die Gründe dafür umfassen unter anderem die Zerstörung und Degradierung von Lebensräumen, diverse Pilzkrankheiten sowie Veränderungen in der Landnutzung. Für einige Amphibienarten gehören, trotz vieler Störungen, auch landwirtschaftliche Gebiete oder gar Städte zu wichtigen Lebensräumen. Unsere Zielart ist die bedrohte Wechselkröte - eine typische Pionierart, die neu entstehende Gewässer schnell besiedeln kann. In Österreich liegt ihr Hauptverbreitungsgebiet in Ostösterreich mit vereinzelten inselartigen Vorkommen im Westen. Ihre natürlichen Laichgewässer sind nach Regenfällen gefüllte Steppenseen oder nach Überschwemmungen entstandene Tümpel mit starker Sonneneinstrahlung. Bis auf wenige Ausnahmen, sind die natürlichen Laich-Habitate der Wechselkröte in Europa weitgehend verschwunden. Neben diesen naturnahen Gewässern werden heute oft künstliche Gewässer oder Lacken, die nach Regengüssen gefüllt sind, von Wechselkröten angenommen. Das Verschwinden von Brachflächen und Verschließen von Baulücken führt jedoch sowohl im ländlichen als auch im innerstädtischen Gebiet zu einer Verschlechterung des Erhaltungszustandes der Wechselkröte. Gegenmaßnahmen, wie beispielsweise die Bereitstellung von Ersatzlebensräumen, wirken dieser negativen Entwicklung entgegen.

Projektziele von AmphiBiom
Ein wichtiger Schritt für ein umfassendes Schutzkonzept für die Wechselkröte erfordert eine österreichweite Bestandsaufnahme und Analyse ihrer Habitat-Präferenzen unter Einbeziehung von Schadstoffen in den Gewässern und der Landnutzung. Das vorliegende Projekt nutzt Citizen Science zur Untersuchung dieser Pionierart, um die Verbreitung in Arealen, die oftmals für die Forschung unzugänglich sind (z.B. Privatgärten), zu untersuchen und Bürger*innen aktiv in das Projekt einzubinden. Darüber hinaus ist es ein Ziel den Teilnehmenden zu zeigen, dass sie selbst durch nur wenig Aufwand (z.B. durch die Anlage von Kleingewässern) das Überleben dieser geschützten Art fördern können. Diese Lebensraumschaffung wird den Erhaltungszustand der Wechselkröten und anderer bedrohter Amphibien-Pionierarten erheblich verbessern. Wir erwarten zudem eine große Vielfalt wirbelloser Tiere (z.B. Insekten), die zu einer Zunahme der Biodiversität in ganz Österreich beitragen wird. Unsere Analysen werden uns ermöglichen, klare Handlungsweisen zum Schutz dieser seltenen Biotope zu geben. Die Involvierung von Bürger*innen ermöglicht hier die breite Ausrollung unserer Initiative, erhöht die Nachhaltigkeit der Aktion und schafft ein Problembewusstsein für Biodiversitätsschutz in Österreich. 

Wie können Sie mitmachen?
Bevor Sie mittels App aktiv teilnehmen können, müssen Sie sich registrieren oder einloggen. Für die Teilnahme am Projekt AmphiBiom bieten sich zwei Möglichkeiten. Haben Sie auf einem abendlichen Spaziergang eine Wechselkröte, oder ein anderes Amphib, gehört, dann können Sie den Ruf direkt in der App aufzeichnen und melden. Sie haben auch die Möglichkeit sich aktiv in der Laichgewässerschaffung für Wechselkröten zu engagieren. Hierfür steht ein eigenes Online-Formular über www.amphi.at zur Verfügung. Nach erfolgter Registrierung setzt sich unser Projektteam mit ihnen in Kontakt, um die weiteren Schritte zu besprechen.

Die AmphiApp läuft auf der SPOTTERON Citizen Science Plattform unter www.spotteron.net.","['EN', 'DE']"
TreeSnap,https://apps.apple.com/us/app/treesnap/id1226499160?uo=4,University of Tennessee,4.25,USD,"Help Our Nation’s Trees!  Invasive diseases and pests threaten the health of America’s forests. Scientists are working to understand what allows some individual trees to survive, but they need to find healthy, resilient trees in the forest to study. That’s where concerned foresters, landowners, and citizens (you!) can help. Tag trees you find in your community, on your property, or out in the wild using TreeSnap! Scientists will use the data you collect to locate trees for research projects like studying the genetic diversity of tree species and building better tree breeding programs.",['EN']
PolliNation ID,https://apps.apple.com/us/app/pollination-id/id1509525273?uo=4,The University of Michigan,3.0,USD,"Bees and other native pollinators around the globe are disappearing at a shocking rate; it is clear that we need to act right away! The PolliNation Project is a citizen science initiative sponsored by the University of Michigan-Dearborn to increase awareness of native pollinators and to better understand their plight. Become part of this initiative by using this app to identify and submit accounts of the native pollinators that you see in your neighborhood. Here you’ll find all the tools that you need to identify common Michigan pollinators and other insects that share their homes as well as learn more about their habits and habitats. You can also submit pictures of the pollinators that you find to help us learn more about the distributions of these important insects. To learn more about the PolliNation project, visit our website.",['EN']
ISeeChange Tracker,https://apps.apple.com/us/app/iseechange-tracker/id1114885557?uo=4,ISeeChange,4.55556,USD,"Our climate is changing--and so are we. With ISeeChange, share your experiences and collect data to investigate our environment and help our communities through change.

What you see change in your backyard, neighborhood, and city is important to our understanding of how climate change and weather affect our communities. Your observations and block-by-block insights can help cities, engineers and local organizations advocate for and create solutions to climate challenges. If you or your community has a question or hypothesis about how climate is changing your area, you can also use your ISeeChange account to collect data and answer those questions.

• Create your account: Your account is a personal record of your sightings as well as a way to connect with your local community. Your location is generalized to protect your personal privacy.

• Post a sighting: The best posts combine detailed stories and photos to show what you’re seeing in your environment and how it affects you. We then sync your stories to local weather data and trends.

• Have conversations and connect: Comment on what others are seeing in your area and across the globe. Connect with community members on tips to manage the same climate challenges you are experiencing.

• Help improve local knowledge and research: During weather events let us know what you’re seeing and check in on the feed to see what information your community is gathering. We may send push notifications and emails during local and regional weather events. When you respond to them, we do our best to share what you saw with people studying local weather trends. 

• Contribute to solutions: We share posts on social media, in newsletters and in reports to local partners that are working on solutions. Be sure to subscribe to our emails so you can be the first to know when we hear someone has used your post as data. This helps you and others track how your community is changing in response to climate change.",['EN']
YOUCOUNT Youth Citizen Science,https://apps.apple.com/us/app/youcount-youth-citizen-science/id1612313549?uo=4,SPOTTERON Gmbh,0.0,USD,"Let’s explore how young people can be socially included!

With the YouCount App, you can contribute to better knowledge on social inclusion for young people. Together with youths from nine European countries – Austria, Denmark, Hungary, Italy, Lithuania, Norway, Spain, Sweden, and the United Kingdom – you can share your daily life experiences of participation, belonging, and citizenship in your community.  You can share which places you spend time, what activities you do, with whom you spend time, and what these places, people, and activities mean to you. When do you feel that you belong and take part in society and the local community? What makes you feel supported, strengthened, and have a voice? You know better than anyone else, what your daily lived experiences of inclusion and exclusion are.

We invite you to be a young researcher and share your experiences with other youths and researchers in the YouCount App. We also invite you to create new knowledge and innovations for social change in cooperation with other youths and local people, organizations, and authorities in your community. 

YouCount is a research project funded by the European Union and we aim to address one of Europe’s most pressing challenges: How to increase social inclusion for young people?

The interactive app and user community run on the Citizen Science Platform SPOTTERON at www.spotteron.app.","['EN', 'DE']"
HerpMapper,https://apps.apple.com/us/app/herpmapper/id1266037481?uo=4,Donald Becker,3.5,USD,"HerpMapper is a 501(c)(3) nonprofit organization designed to gather and share information about reptile and amphibian observations across the planet. Using the HerpMapper mobile app, you can create records of your herp observations and keep them all in one place. In turn, your data is made available to HerpMapper Partners – groups who use your recorded observations for research, conservation, and preservation purposes. Your observations can make valuable contributions on the behalf of amphibians and reptiles.

Using your phone’s camera and GPS capabilities, the HerpMapper mobile app creates a ‘voucher record’ of your find, incorporating photos of the animal, and recording the location.  For calling frogs and toads, the app enables you to record and include a sound file in a record.  The date and time of day are also recorded.  The app features a searchable database of the common and scientific names for all of the world’s herpetofauna, and you can search for either type of name by entering just a fragment.  The newest version of the app allows you to add multiple photos and soundfiles to a record

The HerpMapper mobile app does not require wireless or cellular service in order to properly record locations - it uses your phone’s native GPS device, which remains in satellite contact when outside (many HerpMapper records have been recorded in remote corners of the globe).  Once you are back in wireless or cellular range, you can upload (sync) your collected records to the HerpMapper database.  Once uploaded, you can view any and all of your records from the HerpMapper website (www.herpmapper.org).  Creating a HerpMapper account is fast, simple, and free, and you can use the site and the mobile app to keep track of your finds, build a life list, and contribute to science and herp conservation!  Instructions for creating an account, and installing and using the mobile app, are listed on the HerpMapper website.

Who can see the records you create? There are two levels of visibility for records. Only you and HerpMapper Partners have access to all of the data in the records you create. Other users of HerpMapper and the general public can only see very basic information in your records – they do not have access to exact locality data. Any pictures attached to a record have their locality metadata stripped, so they can be seen by everyone on the HerpMapper website, which means you can also see the cool herps being recorded by other people from around the world.

Who are HerpMapper's Partners? For the most part, they are biologists working for state or regional agencies, university researchers, or conservation organizations across the globe. A list of HerpMapper Partners is maintained on the HerpMapper website.",[]
Budburst,https://apps.apple.com/us/app/budburst/id1531186881?uo=4,Chicago Botanic Garden,4.41667,USD,"Capturing the beauty of nature and collecting plant data has never been easier. With the Budburst app, you can contribute to a national community science project by observing plants, uploading your data, and sharing your findings in an instant. 

When you use the Budburst app, you can observe plants in your area with the interactive map, learn about plants with the in-app identification tool, monitor plant life cycles and plant-animal interactions over time, and collaborate in groups with other community scientists. Preserve the nature around you by helping us better understand it.",['EN']
